layer,direction,strength,prompt_id,degree_entropy_interv,degree_entropy_base,achieved_entropy_change,associative_drift,perplexity,local_coherence
15,broaden,0.5,p005,2.9122586168669065,2.6835433913691062,0.2287152254978002,0.2590370178222656,4.011901421330809,1.0
0,regularize,0.5,p000,1.3654300837300724,1.559061706036081,-0.1936316223060086,1.0878634303808212,,
0,regularize,0.5,p001,1.3556881650416133,1.2888498938397401,0.06683827120187313,0.47643351554870605,,
0,regularize,0.5,p002,0.7249760305636205,2.458246379932821,-1.7332703493692008,0.30589306354522705,3.0413897996080164,1.0
0,regularize,0.5,p003,1.3012826031597673,1.5901412653851654,-0.28885866222539813,1.0866883918642998,,
0,regularize,0.5,p004,1.28669955436681,1.589109719972554,-0.30241016560574385,1.0839429944753647,,
0,regularize,0.5,p005,1.8030018939217125,2.364244655453682,-0.5612427615319693,0.24894565343856812,4.086556014934874,1.0
1,regularize,0.5,p000,0.0,1.5182261658405594,-1.5182261658405594,1.0878634303808212,,
1,regularize,0.5,p001,0.0,1.5041785811915056,-1.5041785811915056,1.1039596050977707,,
1,regularize,0.5,p002,0.0,1.0652421914421282,-1.0652421914421282,1.1207557171583176,,
1,regularize,0.5,p003,0.0,1.5310068507685768,-1.5310068507685768,1.0866883918642998,,
1,regularize,0.5,p004,0.0,1.5611787887871755,-1.5611787887871755,1.0839429944753647,,
1,regularize,0.5,p005,0.0,1.1292371142117297,-1.1292371142117297,1.1356832087039948,,
2,regularize,0.5,p000,1.184568921440376,1.6710987005344642,-0.4865297790940881,1.0878634303808212,,
2,regularize,0.5,p001,1.1851668035302152,1.6598675386866073,-0.4747007351563921,1.1039596050977707,,
2,regularize,0.5,p002,1.203306963480642,1.2810072719068581,-0.07770030842621622,1.1207557171583176,,
2,regularize,0.5,p003,1.178560048494392,1.746305252502357,-0.5677452040079649,1.0866883918642998,,
2,regularize,0.5,p004,1.2391839821217001,1.754999445455183,-0.5158154633334828,1.0839429944753647,,
2,regularize,0.5,p005,0.7457366759113044,1.2167565736613373,-0.47101989775003283,1.1356832087039948,,
3,regularize,0.5,p000,1.0693100322485478,1.5858276100195359,-0.5165175777709881,1.0878634303808212,,
3,regularize,0.5,p001,0.7529993183587516,1.5533404126483619,-0.8003410942896103,1.1039596050977707,,
3,regularize,0.5,p002,1.2850996338596175,1.0784943008572858,0.20660533300233164,1.1207557171583176,,
3,regularize,0.5,p003,1.128477484803582,1.5932856393328902,-0.46480815452930835,1.0866883918642998,,
3,regularize,0.5,p004,1.1390860542751622,1.6125924805834315,-0.47350642630826933,1.0839429944753647,,
3,regularize,0.5,p005,1.2841915328526177,1.0490073619595457,0.23518417089307198,1.1356832087039948,,
4,regularize,0.5,p000,0.30068829701968003,1.6462874596301789,-1.3455991626104988,1.0878634303808212,,
4,regularize,0.5,p001,0.6941607326694579,1.583060856775179,-0.8889001241057211,1.1039596050977707,,
4,regularize,0.5,p002,1.215643155946206,1.1693212503685806,0.04632190557762539,1.1207557171583176,,
4,regularize,0.5,p003,0.30604312241251513,1.6226062529570835,-1.3165631305445684,1.0866883918642998,,
